<20161116 16:07:38:724> [S]:ophome
<20161116 16:07:38:726> [S]:READJOBDONE 0
<20161116 16:07:38:727> [R]:OPRESET
<20161116 16:07:50:898> [S]:READJOBDONE 0
<20161116 16:07:51:466> [S]:curDual 000000 0
<20161116 16:07:51:467> [S]:curDual 000000 1
<20161116 16:07:51:480> [S]:opnormal
<20161116 16:07:51:484> [S]:curDual 000000 0
<20161116 16:07:51:484> [S]:curDual 000000 1
<20161116 16:07:52:184> [S]:WINMCS
<20161116 16:07:52:185> [S]:VER 770.0250
<20161116 16:07:52:185> [S]:MCINTOP S 00000000
<20161116 16:07:52:186> [S]:READSST 1
<20161116 16:07:52:187> [S]:INITIOBRD 1
<20161116 16:07:52:188> [S]:INITMOBRD 1
<20161116 16:07:52:188> [S]:EMMBv 7.0121
<20161116 16:07:52:189> [S]:STROKE X 0 519000
<20161116 16:07:52:189> [S]:STROKE Y 0 717000
<20161116 16:07:52:189> [S]:STROKE Z 0 14000
<20161116 16:07:52:189> [S]:PCBORG 0 512015 28201
<20161116 16:07:52:190> [S]:PCBORG 1 513015 393409
<20161116 16:07:52:190> [S]:BRDFLOW 0
<20161116 16:07:52:190> [S]:CONVTYPE 1 0 0
<20161116 16:07:52:190> [S]:REQVAC 0 0
<20161116 16:07:52:191> [S]:REQVAC 1 0
<20161116 16:07:52:191> [S]:DEFAULT Z 8430
<20161116 16:07:52:191> [S]:DEFAULT Z2 8270
<20161116 16:07:52:191> [S]:RAIL3ORG 366.00
<20161116 16:07:52:192> [S]:clrSmem 00000 0
<20161116 16:07:52:193> [S]:clrSmem 00000 1
<20161116 16:07:52:549> [R]:infomReq X
<20161116 16:07:52:549> [R]:v2DOff
<20161116 16:07:52:551> [S]:infRqAck x 0.000
<20161116 16:07:52:561> [S]:infPjAck x -217.014
<20161116 16:07:52:562> [R]:BAR_PRE 0 1
<20161116 16:07:52:566> [R]:OPSCALEMODE 0
<20161116 16:07:52:567> [S]:OPSCALEACK 0
<20161116 16:07:52:573> [R]:STHFIDINSP 0 0 0 0
<20161116 16:07:52:581> [R]:FIDFJOB 0
<20161116 16:07:52:587> [S]:READJOBDONE 0
<20161116 16:07:52:611> [R]:OPSCALEMODE 0
<20161116 16:07:52:611> [S]:OPSCALEACK 0
<20161116 16:07:52:614> [R]:STHFIDINSP 0 0 0 1
<20161116 16:07:52:619> [R]:FIDFJOB 1
<20161116 16:07:52:625> [S]:READJOBDONE 1
<20161116 16:07:52:642> [R]:USERLEVEL 2 1
<20161116 16:07:52:644> [R]:USEVSACK 1
<20161116 16:07:52:645> [R]:OUTSIDE 0
<20161116 16:07:52:647> [R]:TBJOBUSE 0
<20161116 16:07:52:648> [R]:NFIDINSP 2 0 1 0
<20161116 16:07:52:649> [S]:NFIDINSP 2 0 1 0
<20161116 16:07:52:652> [R]:NFIDINSP 2 0 1 1
<20161116 16:07:52:652> [S]:NFIDINSP 2 0 1 1
<20161116 16:07:52:656> [R]:USECMDUNLOAD 0 0
<20161116 16:07:52:656> [S]:USECMDUNLOAD_ACK
<20161116 16:07:52:658> [R]:USETWLAMPSTATE 0
<20161116 16:07:52:675> [R]:infomReq Y
<20161116 16:07:52:676> [S]:infRqAck y 0.000
<20161116 16:07:52:677> [R]:infomReq Z
<20161116 16:07:52:686> [S]:infPjAck y -28.201
<20161116 16:07:52:686> [S]:infRqAck z 8.430
<20161116 16:07:52:696> [S]:READJOBDONE 0
<20161116 16:07:52:696> [S]:opnormal
<20161116 16:07:52:696> [S]:ReqJobInx
<20161116 16:07:53:734> [R]:infomReq X
<20161116 16:07:53:737> [R]:infomReq Y
<20161116 16:07:53:738> [S]:infRqAck x 0.000
<20161116 16:07:53:742> [R]:infomReq Z
<20161116 16:07:53:748> [S]:infPjAck x -217.014
<20161116 16:07:53:749> [S]:infRqAck y 0.000
<20161116 16:07:53:759> [S]:infPjAck y -28.201
<20161116 16:07:53:760> [S]:infRqAck z 8.430
<20161116 16:08:05:351> [C]:USERLEVEL 4
<20161116 16:08:27:006> [R]:vRLane 0
<20161116 16:08:27:007> [S]:vQLaneAck 0
<20161116 16:08:28:755> [R]:OPRUN 0
<20161116 16:08:28:757> [S]:oprun
<20161116 16:08:33:449> [S]:clrSmem 01000 0
<20161116 16:08:33:667> [S]:clrSmem 01000 1
<20161116 16:08:33:689> [S]:curDual 100000 0
<20161116 16:08:33:701> [S]:curDual 000000 0
<20161116 16:08:33:725> [S]:curDual 100000 0
<20161116 16:08:33:752> [S]:TRANSTFER_START 0
<20161116 16:08:33:753> [S]:ENTIN 0
<20161116 16:08:33:753> [S]:PCBIOINF 0 0 0 20161116160833752
<20161116 16:08:33:754> [S]:ConvMBrdInfo 2 0 0
<20161116 16:08:33:754> [S]:ConvMBrdInfo 2 0 2
<20161116 16:08:33:754> [S]:ConvMBrdInfo 2 0 4
<20161116 16:08:34:568> [S]:curDual 000000 0
<20161116 16:08:34:611> [S]:clrSmem 00000 0
<20161116 16:08:35:234> [S]:curDual 000100 0
<20161116 16:08:35:278> [S]:WORKOUT 0
<20161116 16:08:35:351> [S]:TRANSTFER_END 0
<20161116 16:08:35:352> [S]:PCBIOINF 0 0 1 20161116160835351
<20161116 16:08:35:352> [S]:ConvMBrdInfo 3 0 0
<20161116 16:08:35:353> [S]:ConvMBrdInfo 3 0 2
<20161116 16:08:35:353> [S]:ConvMBrdInfo 3 0 4
<20161116 16:08:35:603> [S]:ConvMBrdInfo 4 0 0
<20161116 16:08:35:604> [S]:ConvMBrdInfo 4 0 2
<20161116 16:08:35:604> [S]:ConvMBrdInfo 4 0 4
<20161116 16:08:36:603> [S]:vLane 0
<20161116 16:08:36:634> [R]:vLaneAck 0
<20161116 16:08:36:641> [S]:VSTART
<20161116 16:08:36:648> [R]:OPTOWERLAMP 0 0 0 0 0
<20161116 16:08:36:745> [R]:VSTARTACK 0
<20161116 16:08:36:764> [S]:vFid 0
<20161116 16:08:36:998> [R]:V2DOff
<20161116 16:08:37:096> [R]:V2DOFF
<20161116 16:08:37:101> [R]:vFIDCap 0 0
<20161116 16:08:37:103> [R]:vFIDACK -0.532 0.007
<20161116 16:08:37:523> [S]:vFid 1
<20161116 16:08:37:537> [R]:V2DOff
<20161116 16:08:37:715> [R]:V2DOFF
<20161116 16:08:37:720> [R]:V2DOFF
<20161116 16:08:37:722> [R]:vFIDCap 1 0
<20161116 16:08:37:724> [R]:vFIDACK 0.198 0.785
<20161116 16:08:37:986> [S]:vBMI 0
<20161116 16:08:38:242> [R]:vBMIACK
<20161116 16:08:38:243> [S]:fidR -0.003243 1 0.115565 100.035
<20161116 16:08:38:243> [S]:HMWarp 0.000 0 0
<20161116 16:08:38:485> [S]:vRun 1 1 265.611 179.570 482625 207771 0
<20161116 16:08:38:517> [R]:V2DOFF
<20161116 16:08:38:702> [R]:vRunAck 1 0.0000 0.0000 0
<20161116 16:08:38:792> [R]:SCANZ 1 0.004
<20161116 16:08:38:880> [S]:vRun 2 1 239.680 178.249 456694 206450 0
<20161116 16:08:38:923> [R]:PZTACK 1 0
<20161116 16:08:39:018> [R]:vRunAck 2 0.0000 0.0000 0
<20161116 16:08:39:130> [R]:SCANZ 2 0.045
<20161116 16:08:39:200> [S]:vRun 3 1 210.389 183.015 427403 211216 0
<20161116 16:08:39:282> [R]:PZTACK 2 0
<20161116 16:08:39:339> [R]:vRunAck 3 0.0000 0.0000 0
<20161116 16:08:39:416> [R]:SCANZ 3 0.051
<20161116 16:08:39:526> [S]:vRun 4 1 178.810 182.827 395824 211028 0
<20161116 16:08:39:587> [R]:PZTACK 3 0
<20161116 16:08:39:664> [R]:vRunAck 4 0.0000 0.0000 0
<20161116 16:08:39:749> [R]:SCANZ 4 0.000
<20161116 16:08:39:844> [S]:vRun 5 1 151.562 187.121 368576 215322 0
<20161116 16:08:39:946> [R]:PZTACK 4 0
<20161116 16:08:39:983> [R]:vRunAck 5 0.0000 0.0000 0
<20161116 16:08:40:098> [R]:SCANZ 5 0.001
<20161116 16:08:40:162> [S]:vRun 6 1 124.422 187.055 341436 215256 0
<20161116 16:08:40:223> [R]:PZTACK 5 0
<20161116 16:08:40:300> [R]:vRunAck 6 0.0000 0.0000 0
<20161116 16:08:40:384> [R]:SCANZ 6 0.022
<20161116 16:08:40:480> [S]:vRun 7 1 97.438 181.505 314452 209706 0
<20161116 16:08:40:495> [R]:PZTACK 6 0
<20161116 16:08:40:631> [R]:vRunAck 7 0.0000 0.0000 0
<20161116 16:08:40:723> [R]:SCANZ 7 0.028
<20161116 16:08:40:817> [S]:vRun 8 1 66.660 184.305 283674 212506 0
<20161116 16:08:40:839> [R]:PZTACK 7 0
<20161116 16:08:40:975> [R]:vRunAck 8 0.0000 0.0000 0
<20161116 16:08:41:132> [R]:SCANZ 8 0.035
<20161116 16:08:41:154> [S]:vRun 9 1 39.690 183.603 256704 211804 0
<20161116 16:08:41:232> [R]:PZTACK 8 0
<20161116 16:08:41:292> [R]:vRunAck 9 0.0000 0.0000 0
<20161116 16:08:41:438> [R]:SCANZ 9 0.035
<20161116 16:08:41:461> [S]:vRun 10 1 18.750 184.258 235764 212459 0
<20161116 16:08:41:513> [R]:PZTACK 9 0
<20161116 16:08:41:599> [R]:vRunAck 10 0.0000 0.0000 0
<20161116 16:08:41:720> [R]:SCANZ 10 0.031
<20161116 16:08:41:780> [R]:PZTACK 10 0
<20161116 16:08:41:795> [S]:vRun 11 1 22.502 155.548 239516 183749 0
<20161116 16:08:41:933> [R]:vRunAck 11 0.0000 0.0000 0
<20161116 16:08:42:085> [R]:SCANZ 11 0.053
<20161116 16:08:42:107> [S]:vRun 12 1 52.801 156.331 269815 184532 0
<20161116 16:08:42:154> [R]:PZTACK 11 0
<20161116 16:08:42:245> [R]:vRunAck 12 0.0000 0.0000 0
<20161116 16:08:42:364> [R]:SCANZ 12 0.019
<20161116 16:08:42:416> [S]:vRun 13 1 80.607 154.392 297621 182593 0
<20161116 16:08:42:439> [R]:PZTACK 12 0
<20161116 16:08:42:554> [R]:vRunAck 13 0.0000 0.0000 0
<20161116 16:08:42:653> [R]:SCANZ 13 0.009
<20161116 16:08:42:727> [S]:vRun 14 1 109.277 156.331 326291 184532 0
<20161116 16:08:42:748> [R]:PZTACK 13 0
<20161116 16:08:42:882> [R]:vRunAck 14 0.0000 0.0000 0
<20161116 16:08:43:058> [R]:SCANZ 14 -0.005
<20161116 16:08:43:060> [S]:vRun 15 1 136.348 145.005 353362 173206 0
<20161116 16:08:43:165> [R]:PZTACK 14 0
<20161116 16:08:43:198> [R]:vRunAck 15 0.0000 0.0000 0
<20161116 16:08:43:285> [R]:SCANZ 15 0.005
<20161116 16:08:43:370> [S]:vRun 16 1 164.685 144.141 381699 172342 0
<20161116 16:08:43:412> [R]:PZTACK 15 0
<20161116 16:08:43:508> [R]:vRunAck 16 0.0000 0.0000 0
<20161116 16:08:43:596> [R]:SCANZ 16 0.016
<20161116 16:08:43:680> [S]:vRun 17 1 192.760 153.329 409774 181530 0
<20161116 16:08:43:742> [R]:PZTACK 16 0
<20161116 16:08:43:818> [R]:vRunAck 17 0.0000 0.0000 0
<20161116 16:08:43:919> [R]:SCANZ 17 0.025
<20161116 16:08:43:988> [S]:vRun 18 1 218.819 153.881 435833 182082 0
<20161116 16:08:44:024> [R]:PZTACK 17 0
<20161116 16:08:44:126> [R]:vRunAck 18 0.0000 0.0000 0
<20161116 16:08:44:285> [S]:vRun 19 1 239.753 149.560 456767 177761 0
<20161116 16:08:44:327> [R]:SCANZ 18 0.029
<20161116 16:08:44:412> [R]:PZTACK 18 0
<20161116 16:08:44:461> [R]:vRunAck 19 0.0000 0.0000 0
<20161116 16:08:44:553> [R]:SCANZ 19 0.000
<20161116 16:08:44:618> [R]:PZTACK 19 0
<20161116 16:08:44:630> [S]:vRun 20 1 265.869 144.076 482883 172277 0
<20161116 16:08:44:771> [R]:vRunAck 20 0.0000 0.0000 0
<20161116 16:08:44:917> [S]:vRun 21 1 280.777 144.946 497791 173147 0
<20161116 16:08:44:921> [R]:SCANZ 20 -0.025
<20161116 16:08:44:959> [R]:PZTACK 20 0
<20161116 16:08:45:055> [R]:vRunAck 21 0.0000 0.0000 0
<20161116 16:08:45:147> [R]:SCANZ 21 -0.048
<20161116 16:08:45:251> [S]:vRun 22 1 244.747 121.992 461761 150193 0
<20161116 16:08:45:259> [R]:PZTACK 21 0
<20161116 16:08:45:390> [R]:vRunAck 22 0.0000 0.0000 0
<20161116 16:08:45:511> [R]:SCANZ 22 -0.019
<20161116 16:08:45:567> [S]:vRun 23 1 219.205 126.980 436219 155181 0
<20161116 16:08:45:610> [R]:PZTACK 22 0
<20161116 16:08:45:706> [R]:vRunAck 23 0.0000 0.0000 0
<20161116 16:08:45:792> [R]:SCANZ 23 0.005
<20161116 16:08:45:883> [S]:vRun 24 1 192.859 126.509 409873 154710 0
<20161116 16:08:45:914> [R]:PZTACK 23 0
<20161116 16:08:46:021> [R]:vRunAck 24 0.0000 0.0000 0
<20161116 16:08:46:100> [R]:SCANZ 24 0.006
<20161116 16:08:46:195> [R]:PZTACK 24 0
<20161116 16:08:46:268> [S]:vRun 25 1 108.473 127.940 325487 156141 0
<20161116 16:08:46:408> [R]:vRunAck 25 0.0000 0.0000 0
<20161116 16:08:46:538> [R]:SCANZ 25 -0.007
<20161116 16:08:46:588> [R]:PZTACK 25 0
<20161116 16:08:46:588> [S]:vRun 26 1 80.786 127.166 297800 155367 0
<20161116 16:08:46:728> [R]:vRunAck 26 0.0000 0.0000 0
<20161116 16:08:46:815> [R]:SCANZ 26 0.003
<20161116 16:08:46:867> [R]:PZTACK 26 0
<20161116 16:08:46:907> [S]:vRun 27 1 52.738 135.946 269752 164147 0
<20161116 16:08:47:046> [R]:vRunAck 27 0.0000 0.0000 0
<20161116 16:08:47:227> [S]:vRun 28 1 24.003 127.822 241017 156023 0
<20161116 16:08:47:287> [R]:SCANZ 27 -0.005
<20161116 16:08:47:288> [R]:PZTACK 27 0
<20161116 16:08:47:403> [R]:vRunAck 28 0.0000 0.0000 0
<20161116 16:08:47:560> [R]:SCANZ 28 0.039
<20161116 16:08:47:579> [S]:vRun 29 1 23.943 108.344 240957 136545 0
<20161116 16:08:47:717> [R]:vRunAck 29 0.0000 0.0000 0
<20161116 16:08:47:886> [S]:vRun 30 1 50.664 108.291 267678 136492 0
<20161116 16:08:48:004> [R]:SCANZ 29 0.031
<20161116 16:08:48:005> [R]:PZTACK 29 0
<20161116 16:08:48:066> [R]:PZTACK 28 0
<20161116 16:08:48:140> [R]:vRunAck 30 0.0000 0.0000 0
<20161116 16:08:48:274> [R]:SCANZ 30 -0.026
<20161116 16:08:48:307> [S]:vRun 31 1 75.335 108.210 292349 136411 0
<20161116 16:08:48:333> [R]:PZTACK 30 0
<20161116 16:08:48:445> [R]:vRunAck 31 0.0000 0.0000 0
<20161116 16:08:48:589> [R]:SCANZ 31 -0.015
<20161116 16:08:48:621> [S]:vRun 32 1 105.051 106.115 322065 134316 0
<20161116 16:08:48:632> [R]:PZTACK 31 0
<20161116 16:08:48:758> [R]:vRunAck 32 0.0000 0.0000 0
<20161116 16:08:48:861> [R]:SCANZ 32 -0.005
<20161116 16:08:48:907> [R]:PZTACK 32 0
<20161116 16:08:48:934> [S]:vRun 33 1 133.916 108.770 350930 136971 0
<20161116 16:08:49:072> [R]:vRunAck 33 0.0000 0.0000 0
<20161116 16:08:49:188> [R]:SCANZ 33 0.006
<20161116 16:08:49:243> [S]:vRun 34 1 161.287 108.683 378301 136884 0
<20161116 16:08:49:253> [R]:PZTACK 33 0
<20161116 16:08:49:390> [R]:vRunAck 34 0.0000 0.0000 0
<20161116 16:08:49:505> [R]:SCANZ 34 -0.016
<20161116 16:08:49:565> [S]:vRun 35 1 189.815 107.279 406829 135480 0
<20161116 16:08:49:703> [R]:vRunAck 35 0.0000 0.0000 0
<20161116 16:08:49:764> [R]:PZTACK 34 0
<20161116 16:08:49:833> [R]:SCANZ 35 -0.001
<20161116 16:08:49:878> [S]:vRun 36 1 219.137 103.428 436151 131629 0
<20161116 16:08:50:016> [R]:vRunAck 36 0.0000 0.0000 0
<20161116 16:08:50:185> [S]:vRun 37 1 245.492 103.355 462506 131556 0
<20161116 16:08:50:219> [R]:SCANZ 36 -0.017
<20161116 16:08:50:219> [R]:PZTACK 36 0
<20161116 16:08:50:303> [R]:PZTACK 35 0
<20161116 16:08:50:353> [R]:vRunAck 37 0.0000 0.0000 0
<20161116 16:08:50:460> [R]:SCANZ 37 -0.015
<20161116 16:08:50:507> [R]:PZTACK 37 0
<20161116 16:08:50:511> [S]:vRun 38 1 265.508 106.497 482522 134698 0
<20161116 16:08:50:649> [R]:vRunAck 38 0.0000 0.0000 0
<20161116 16:08:50:839> [R]:SCANZ 38 -0.040
<20161116 16:08:50:839> [R]:PZTACK 38 0
<20161116 16:08:50:840> [S]:VEND 0
<20161116 16:08:55:410> [R]:OPGOOD 0 0 0 1681
<20161116 16:08:55:413> [S]:tackTime e 0 0
<20161116 16:08:55:413> [S]:tackTime w 0.00 0
<20161116 16:08:55:413> [S]:tackTime o 0 0
<20161116 16:08:55:413> [S]:ConvMBrdInfo 5 0 0
<20161116 16:08:55:413> [S]:ConvMBrdInfo 5 0 2
<20161116 16:08:55:413> [S]:ConvMBrdInfo 5 0 4
<20161116 16:08:55:414> [S]:ConvMBrdInfo 6 0 0
<20161116 16:08:55:414> [S]:ConvMBrdInfo 6 0 2
<20161116 16:08:55:414> [S]:ConvMBrdInfo 6 0 4
<20161116 16:08:55:467> [S]:clrSmem 00010 0
<20161116 16:08:57:347> [R]:OPSAVDON 0
<20161116 16:08:57:433> [S]:clrSmem 00110 0
<20161116 16:08:57:627> [S]:clrSmem 00010 0
<20161116 16:08:58:395> [S]:ConvMBrdInfo 7 0 0
<20161116 16:08:58:396> [S]:ConvMBrdInfo 7 0 2
<20161116 16:08:58:396> [S]:ConvMBrdInfo 7 0 4
<20161116 16:08:58:496> [S]:TRANSTFER_START 0
<20161116 16:08:58:496> [S]:TS 0
<20161116 16:08:58:497> [S]:PCBIOINF 0 0 2 20161116160858495
<20161116 16:08:58:497> [S]:ConvMBrdInfo 8 0 0
<20161116 16:08:58:498> [S]:ConvMBrdInfo 8 0 2
<20161116 16:08:58:498> [S]:ConvMBrdInfo 8 0 4
<20161116 16:08:58:697> [S]:curDual 000100 0
<20161116 16:08:59:316> [S]:curDual 000101 0
<20161116 16:08:59:341> [S]:curDual 000001 0
<20161116 16:08:59:496> [S]:curDual 000001 0
<20161116 16:08:59:976> [S]:curDual 000000 0
<20161116 16:09:00:298> [S]:clrSmem 00000 0
<20161116 16:09:00:307> [S]:TRANSTFER_END 0
<20161116 16:09:00:307> [S]:EXTOUT 0
<20161116 16:09:00:307> [S]:PCBIOINF 0 0 3 20161116160900307
<20161116 16:09:00:307> [S]:ConvMBrdInfo 9 0 0
<20161116 16:09:00:307> [S]:ConvMBrdInfo 9 0 2
<20161116 16:09:00:307> [S]:ConvMBrdInfo 9 0 4
<20161116 16:09:00:329> [S]:ConvMBrdInfo 0 0 0
<20161116 16:09:00:329> [S]:ConvMBrdInfo 0 0 2
<20161116 16:09:00:329> [S]:ConvMBrdInfo 0 0 4
<20161116 16:09:00:369> [S]:clrSmem 01000 0
